Session_ID,Timestamp,Category,Element,Property,Old_Value,New_Value
SESS-4825,2026-02-20 18:48:25,JSON Nesting,API,Value,unknown,6
SESS-4847,2026-02-20 18:48:47,Unit Drift,Price,Value,unknown,Numeric_Fix
SESS-4847,2026-02-20 18:48:47,JSON Nesting,API,Value,unknown,6
SESS-4908,2026-02-20 18:49:08,CSS Rename,Title,Value,unknown,item-title-header
SESS-4908,2026-02-20 18:49:08,CSS Rename,Price,Value,unknown,cost-amount
SESS-4910,2026-02-20 18:49:10,Unit Drift,Price,Value,unknown,Numeric_Fix
SESS-4910,2026-02-20 18:49:10,JSON Nesting,API,Value,unknown,6
SESS-4930,2026-02-20 18:49:30,CSS Rename,Title,Value,unknown,item-title-header
SESS-4930,2026-02-20 18:49:30,CSS Rename,Price,Value,unknown,cost-amount
SESS-4933,2026-02-20 18:49:33,Unit Drift,Price,Value,unknown,Numeric_Fix
SESS-4933,2026-02-20 18:49:33,JSON Nesting,API,Value,unknown,6
SESS-4953,2026-02-20 18:49:53,CSS Rename,Title,Value,unknown,item-title-header
SESS-4953,2026-02-20 18:49:53,CSS Rename,Price,Value,unknown,cost-amount
SESS-4955,2026-02-20 18:49:55,Unit Drift,Price,Value,unknown,Numeric_Fix
SESS-4955,2026-02-20 18:49:55,JSON Nesting,API,Value,unknown,7
SESS-5016,2026-02-20 18:50:16,CSS Rename,Title,Value,unknown,item-title-header
SESS-5016,2026-02-20 18:50:16,CSS Rename,Price,Value,unknown,cost-amount
SESS-5018,2026-02-20 18:50:18,Unit Drift,Price,Value,unknown,Numeric_Fix
SESS-5018,2026-02-20 18:50:18,JSON Nesting,API,Value,unknown,7
SESS-5038,2026-02-20 18:50:38,CSS Rename,Title,Value,unknown,item-title-header
SESS-5038,2026-02-20 18:50:38,CSS Rename,Price,Value,unknown,cost-amount
SESS-5040,2026-02-20 18:50:40,Unit Drift,Price,Value,unknown,Numeric_Fix
SESS-5040,2026-02-20 18:50:40,JSON Nesting,API,Value,unknown,7
SESS-5101,2026-02-20 18:51:01,CSS Rename,Title,Value,unknown,item-title-header
SESS-5101,2026-02-20 18:51:01,CSS Rename,Price,Value,unknown,cost-amount
SESS-5103,2026-02-20 18:51:03,Unit Drift,Price,Value,unknown,Numeric_Fix
SESS-5103,2026-02-20 18:51:03,JSON Nesting,API,Value,unknown,7
SESS-5123,2026-02-20 18:51:23,CSS Rename,Title,Value,unknown,item-title-header
SESS-5123,2026-02-20 18:51:23,CSS Rename,Price,Value,unknown,cost-amount
SESS-5125,2026-02-20 18:51:25,Unit Drift,Price,Value,unknown,Numeric_Fix
SESS-5125,2026-02-20 18:51:25,JSON Nesting,API,Value,unknown,8
SESS-5146,2026-02-20 18:51:46,CSS Rename,Title,Value,unknown,item-title-header
SESS-5146,2026-02-20 18:51:46,CSS Rename,Price,Value,unknown,cost-amount
SESS-5148,2026-02-20 18:51:48,Unit Drift,Price,Value,unknown,Numeric_Fix
SESS-5148,2026-02-20 18:51:48,JSON Nesting,API,Value,unknown,8
SESS-5209,2026-02-20 18:52:09,CSS Rename,Title,Value,unknown,item-title-header
SESS-5209,2026-02-20 18:52:09,CSS Rename,Price,Value,unknown,cost-amount
SESS-5211,2026-02-20 18:52:11,Unit Drift,Price,Value,unknown,Numeric_Fix
SESS-5211,2026-02-20 18:52:11,JSON Nesting,API,Value,unknown,8
SESS-5231,2026-02-20 18:52:31,CSS Rename,Title,Value,unknown,product-label
SESS-5231,2026-02-20 18:52:31,CSS Rename,Price,Value,unknown,price-tag
SESS-5233,2026-02-20 18:52:33,Unit Drift,Price,Value,unknown,Numeric_Fix
SESS-5233,2026-02-20 18:52:33,JSON Nesting,API,Value,unknown,8
SESS-5254,2026-02-20 18:52:54,CSS Rename,Title,Value,unknown,product-label
SESS-5254,2026-02-20 18:52:54,CSS Rename,Price,Value,unknown,price-tag
SESS-5256,2026-02-20 18:52:56,Unit Drift,Price,Value,unknown,Numeric_Fix
SESS-5256,2026-02-20 18:52:56,JSON Nesting,API,Value,unknown,8
SESS-5316,2026-02-20 18:53:16,CSS Rename,Title,Value,unknown,product-label
SESS-5316,2026-02-20 18:53:16,CSS Rename,Price,Value,unknown,price-tag
SESS-5318,2026-02-20 18:53:18,Unit Drift,Price,Value,unknown,Numeric_Fix
SESS-5318,2026-02-20 18:53:18,JSON Nesting,API,Value,unknown,8
SESS-5339,2026-02-20 18:53:39,CSS Rename,Title,Value,unknown,product-label
SESS-5339,2026-02-20 18:53:39,CSS Rename,Price,Value,unknown,price-tag
SESS-5341,2026-02-20 18:53:41,Unit Drift,Price,Value,unknown,Numeric_Fix
SESS-5341,2026-02-20 18:53:41,JSON Nesting,API,Value,unknown,10
SESS-5401,2026-02-20 18:54:01,CSS Rename,Title,Value,unknown,product-label
SESS-5401,2026-02-20 18:54:01,CSS Rename,Price,Value,unknown,price-tag
SESS-5403,2026-02-20 18:54:03,Unit Drift,Price,Value,unknown,Numeric_Fix
SESS-5403,2026-02-20 18:54:03,JSON Nesting,API,Value,unknown,11
SESS-5424,2026-02-20 18:54:24,CSS Rename,Title,Value,unknown,product-label
SESS-5424,2026-02-20 18:54:24,CSS Rename,Price,Value,unknown,price-tag
SESS-5426,2026-02-20 18:54:26,Unit Drift,Price,Value,unknown,Numeric_Fix
SESS-5426,2026-02-20 18:54:26,JSON Nesting,API,Value,unknown,11
SESS-5447,2026-02-20 18:54:47,CSS Rename,Title,Value,unknown,name-heading
SESS-5447,2026-02-20 18:54:47,CSS Rename,Price,Value,unknown,product-cost-display
SESS-5449,2026-02-20 18:54:49,Unit Drift,Price,Value,unknown,Numeric_Fix
SESS-5449,2026-02-20 18:54:49,JSON Nesting,API,Value,unknown,11
SESS-5509,2026-02-20 18:55:09,CSS Rename,Title,Value,unknown,name-heading
SESS-5509,2026-02-20 18:55:09,CSS Rename,Price,Value,unknown,product-cost-display
SESS-5511,2026-02-20 18:55:11,Unit Drift,Price,Value,unknown,Numeric_Fix
SESS-5511,2026-02-20 18:55:11,JSON Nesting,API,Value,unknown,11
SESS-5532,2026-02-20 18:55:32,CSS Rename,Title,Value,unknown,name-heading
SESS-5532,2026-02-20 18:55:32,CSS Rename,Price,Value,unknown,product-cost-display
SESS-5534,2026-02-20 18:55:34,Unit Drift,Price,Value,unknown,Numeric_Fix
SESS-5534,2026-02-20 18:55:34,JSON Nesting,API,Value,unknown,11
SESS-5554,2026-02-20 18:55:54,CSS Rename,Title,Value,unknown,name-heading
SESS-5554,2026-02-20 18:55:54,CSS Rename,Price,Value,unknown,product-cost-display
SESS-5556,2026-02-20 18:55:56,Unit Drift,Price,Value,unknown,Numeric_Fix
SESS-5556,2026-02-20 18:55:56,JSON Nesting,API,Value,unknown,11
SESS-5619,2026-02-20 18:56:19,Unit Drift,Price,Value,unknown,Numeric_Fix
SESS-5619,2026-02-20 18:56:19,JSON Nesting,API,Value,unknown,11
SESS-5639,2026-02-20 18:56:39,CSS Rename,Title,Value,unknown,name-heading
SESS-5639,2026-02-20 18:56:39,CSS Rename,Price,Value,unknown,product-cost-display
SESS-5642,2026-02-20 18:56:42,Unit Drift,Price,Value,unknown,Numeric_Fix
SESS-5642,2026-02-20 18:56:42,JSON Nesting,API,Value,unknown,11
SESS-5702,2026-02-20 18:57:02,CSS Rename,Title,Value,unknown,name-heading
SESS-5702,2026-02-20 18:57:02,CSS Rename,Price,Value,unknown,product-cost-display
SESS-5704,2026-02-20 18:57:04,Unit Drift,Price,Value,unknown,Numeric_Fix
SESS-5704,2026-02-20 18:57:04,JSON Nesting,API,Value,unknown,11
SESS-5725,2026-02-20 18:57:25,CSS Rename,Title,Value,unknown,name-heading
SESS-5725,2026-02-20 18:57:25,CSS Rename,Price,Value,unknown,product-cost-display
SESS-5727,2026-02-20 18:57:27,Unit Drift,Price,Value,unknown,Numeric_Fix
SESS-5727,2026-02-20 18:57:27,JSON Nesting,API,Value,unknown,11
SESS-5749,2026-02-20 18:57:49,Unit Drift,Price,Value,unknown,Numeric_Fix
SESS-5749,2026-02-20 18:57:49,JSON Nesting,API,Value,unknown,11
SESS-5810,2026-02-20 18:58:10,CSS Rename,Title,Value,unknown,name-heading
SESS-5810,2026-02-20 18:58:10,CSS Rename,Price,Value,unknown,product-cost-display
SESS-5812,2026-02-20 18:58:12,Unit Drift,Price,Value,unknown,Numeric_Fix
SESS-5812,2026-02-20 18:58:12,JSON Nesting,API,Value,unknown,11
SESS-5832,2026-02-20 18:58:32,CSS Rename,Title,Value,unknown,name-heading
SESS-5832,2026-02-20 18:58:32,CSS Rename,Price,Value,unknown,product-cost-display
SESS-5834,2026-02-20 18:58:34,Unit Drift,Price,Value,unknown,Numeric_Fix
SESS-5834,2026-02-20 18:58:34,JSON Nesting,API,Value,unknown,11
SESS-5855,2026-02-20 18:58:55,CSS Rename,Title,Value,unknown,name-heading
SESS-5855,2026-02-20 18:58:55,CSS Rename,Price,Value,unknown,product-cost-display
SESS-5857,2026-02-20 18:58:57,Unit Drift,Price,Value,unknown,Numeric_Fix
SESS-5857,2026-02-20 18:58:57,JSON Nesting,API,Value,unknown,11
SESS-5918,2026-02-20 18:59:18,CSS Rename,Title,Value,unknown,product-title
SESS-5918,2026-02-20 18:59:18,CSS Rename,Price,Value,unknown,price-color
SESS-5920,2026-02-20 18:59:20,Unit Drift,Price,Value,unknown,Numeric_Fix
SESS-5920,2026-02-20 18:59:20,JSON Nesting,API,Value,unknown,11
SESS-5940,2026-02-20 18:59:40,CSS Rename,Title,Value,unknown,product-title
SESS-5940,2026-02-20 18:59:40,CSS Rename,Price,Value,unknown,price-color
SESS-5942,2026-02-20 18:59:42,Unit Drift,Price,Value,unknown,Numeric_Fix
SESS-5942,2026-02-20 18:59:42,JSON Nesting,API,Value,unknown,11
SESS-0412,2026-02-20 19:04:12,CSS Rename,Title,Value,unknown,product-title
SESS-0412,2026-02-20 19:04:12,CSS Rename,Price,Value,unknown,price-color
SESS-0414,2026-02-20 19:04:14,Unit Drift,Price,Value,unknown,Numeric_Fix
SESS-0414,2026-02-20 19:04:14,JSON Nesting,API,Value,unknown,11
